topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
146,Bedtime Routine,90,33,Alexa_Riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.13555555555555557,0.0030996413380250144,0.0037352387408339264,0.9782608695652174
147,Good Luck Wishes,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.08666666666666667,0.002621858822304745,0.0024575737983164314,1.0
148,Holiday Celebration,23,18,Annika_Martin,2,0.08695652173913043,0.17391304347826086,False,0.0,low,0.3688888888888889,0.0008029442125357642,0.0006925833905413644,0.25
149,Manager's Disappointed Moment,3,1,Jessica_Clare,3,1.0,1.0,True,0.6666666666666666,high,0.2222222222222222,0.0005987749117921415,0.0005689959004159971,0.03260869565217391
150,Deflecting Blame,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.3333333333333333,0.002243255137742945,0.00244754613294732,1.0
151,Negotiating Business Deal,28,17,Ana_Huang,3,0.10714285714285714,0.21428571428571427,False,0.0,low,0.3088888888888889,0.000993449701607833,0.0008176930656655889,0.30434782608695654
152,Hesitant Glances At Market,4,2,Catharina_Maura,3,0.75,1.0,True,0.6666666666666666,high,0.2288888888888889,0.0005582294981009226,0.0004889539243103187,0.043478260869565216
153,Confusing Conversations,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.013333333333333334,0.0031573805247036334,0.0031115165478333507,0.9891304347826086
154,Unexpected Pregnancy,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.21333333333333335,0.0021061636908533245,0.0017741885883781293,0.9891304347826086
156,Trust Assurance Conversation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.29777777777777775,0.003835226820837612,0.0035225718643659134,1.0
157,Unexpected Barroom Moment,9,6,Leslie_North,3,0.3333333333333333,0.5555555555555556,False,0.0,medium,0.1622222222222222,0.0007001150166363866,0.0006564824702530712,0.09782608695652174
158,Road Trip Flirtation,5,3,Stella_Rhys,3,0.6,0.8,True,0.6666666666666666,high,-0.11777777777777777,0.000670500347221648,0.0007009235248238582,0.05434782608695652
160,Emotional Panic Attack,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.2644444444444444,0.0032759762187872634,0.004783927147849266,0.9891304347826086
161,Admiring Qualities,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.12222222222222222,0.002059671015372938,0.0022256151512995174,0.9891304347826086
162,Breast And Nipple Foreplay,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.17333333333333334,0.004113566732211887,0.004877919438521247,0.9891304347826086
163,Redemption Pursuit,32,21,L_Steele,3,0.09375,0.1875,False,0.0,low,0.008888888888888889,0.0008921804965460727,0.0008426936153320915,0.34782608695652173
164,Eye Contact And Connection,72,29,Tia_Louise,3,0.041666666666666664,0.08333333333333333,False,0.0,low,0.09777777777777778,0.0013851910994052816,0.001406706748812078,0.782608695652174
165,Emotional Voice Cracks,74,28,Alexa_Riley,3,0.04054054054054054,0.08108108108108109,False,0.0,low,0.23555555555555555,0.0017430154328135095,0.0014565982580694893,0.8043478260869565
166,Angry Shouting Match,82,32,L_Steele,3,0.036585365853658534,0.07317073170731707,False,0.0,low,0.24666666666666667,0.0014370378216407194,0.0012706643401056237,0.8913043478260869
167,Intense Orgasmic Waves,85,32,Alexa_Riley,3,0.03529411764705882,0.07058823529411765,False,0.0,low,0.3022222222222222,0.002169447571303892,0.0017309129970033226,0.9239130434782609
